Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
FBS,Food Balances (2010-),008,Albania,5611,Import quantity,S2736,"Offals, Edible",2016,2016,1000 t,1,I,Imputed value,
FBS,Food Balances (2010-),008,Albania,645,Food supply quantity (kg/capita/yr),S2736,"Offals, Edible",2016,2016,kg/cap,4.75,E,Estimated value,
FBS,Food Balances (2010-),008,Albania,674,Protein supply quantity (g/capita/day),S2736,"Offals, Edible",2016,2016,g/cap/d,1.98,E,Estimated value,
FBS,Food Balances (2010-),008,Albania,5611,Import quantity,S2736,"Offals, Edible",2022,2022,1000 t,4,I,Imputed value,
FBS,Food Balances (2010-),008,Albania,645,Food supply quantity (kg/capita/yr),S2736,"Offals, Edible",2022,2022,kg/cap,5.39,E,Estimated value,
FBS,Food Balances (2010-),008,Albania,674,Protein supply quantity (g/capita/day),S2736,"Offals, Edible",2022,2022,g/cap/d,2.28,E,Estimated value,
FBS,Food Balances (2010-),008,Albania,5611,Import quantity,S2740,"Butter, Ghee",2016,2016,1000 t,0,I,Imputed value,
FBS,Food Balances (2010-),008,Albania,645,Food supply quantity (kg/capita/yr),S2740,"Butter, Ghee",2016,2016,kg/cap,1.7,E,Estimated value,
FBS,Food Balances (2010-),008,Albania,674,Protein supply quantity (g/capita/day),S2740,"Butter, Ghee",2016,2016,g/cap/d,0.04,E,Estimated value,
FBS,Food Balances (2010-),008,Albania,5611,Import quantity,S2740,"Butter, Ghee",2022,2022,1000 t,0,I,Imputed value,
FBS,Food Balances (2010-),008,Albania,645,Food supply quantity (kg/capita/yr),S2740,"Butter, Ghee",2022,2022,kg/cap,1.12,E,Estimated value,
FBS,Food Balances (2010-),008,Albania,674,Protein supply quantity (g/capita/day),S2740,"Butter, Ghee",2022,2022,g/cap/d,0.02,E,Estimated value,
FBS,Food Balances (2010-),008,Albania,5611,Import quantity,S2743,Cream,2016,2016,1000 t,0,I,Imputed value,
FBS,Food Balances (2010-),008,Albania,645,Food supply quantity (kg/capita/yr),S2743,Cream,2016,2016,kg/cap,0.01,E,Estimated value,
FBS,Food Balances (2010-),008,Albania,674,Protein supply quantity (g/capita/day),S2743,Cream,2016,2016,g/cap/d,0,E,Estimated value,
FBS,Food Balances (2010-),008,Albania,5611,Import quantity,S2743,Cream,2022,2022,1000 t,1,I,Imputed value,
FBS,Food Balances (2010-),008,Albania,645,Food supply quantity (kg/capita/yr),S2743,Cream,2022,2022,kg/cap,0.25,E,Estimated value,
FBS,Food Balances (2010-),008,Albania,674,Protein supply quantity (g/capita/day),S2743,Cream,2022,2022,g/cap/d,0.02,E,Estimated value,
FBS,Food Balances (2010-),008,Albania,5611,Import quantity,S2737,"Fats, Animals, Raw",2016,2016,1000 t,2,I,Imputed value,
FBS,Food Balances (2010-),008,Albania,645,Food supply quantity (kg/capita/yr),S2737,"Fats, Animals, Raw",2016,2016,kg/cap,1.74,E,Estimated value,
FBS,Food Balances (2010-),008,Albania,674,Protein supply quantity (g/capita/day),S2737,"Fats, Animals, Raw",2016,2016,g/cap/d,0.3,E,Estimated value,
FBS,Food Balances (2010-),008,Albania,5611,Import quantity,S2737,"Fats, Animals, Raw",2022,2022,1000 t,8,I,Imputed value,
FBS,Food Balances (2010-),008,Albania,645,Food supply quantity (kg/capita/yr),S2737,"Fats, Animals, Raw",2022,2022,kg/cap,2.88,E,Estimated value,
FBS,Food Balances (2010-),008,Albania,674,Protein supply quantity (g/capita/day),S2737,"Fats, Animals, Raw",2022,2022,g/cap/d,0.28,E,Estimated value,
FBS,Food Balances (2010-),008,Albania,5611,Import quantity,S2781,"Fish, Body Oil",2016,2016,1000 t,0.01,I,Imputed value,
FBS,Food Balances (2010-),008,Albania,5611,Import quantity,S2781,"Fish, Body Oil",2022,2022,1000 t,0,E,Estimated value,
FBS,Food Balances (2010-),008,Albania,5611,Import quantity,S2782,"Fish, Liver Oil",2016,2016,1000 t,0,I,Imputed value,
FBS,Food Balances (2010-),008,Albania,5611,Import quantity,S2782,"Fish, Liver Oil",2022,2022,1000 t,0,E,Estimated value,
FBS,Food Balances (2010-),008,Albania,5611,Import quantity,S2744,Eggs,2016,2016,1000 t,0,I,Imputed value,
FBS,Food Balances (2010-),008,Albania,645,Food supply quantity (kg/capita/yr),S2744,Eggs,2016,2016,kg/cap,15.29,E,Estimated value,
FBS,Food Balances (2010-),008,Albania,674,Protein supply quantity (g/capita/day),S2744,Eggs,2016,2016,g/cap/d,4.58,E,Estimated value,
FBS,Food Balances (2010-),008,Albania,5611,Import quantity,S2744,Eggs,2022,2022,1000 t,2,I,Imputed value,
